armbage
t	x
0.0	12.408756714050007
0.04	12.402514360434225
0.08	12.39121645370134
0.12	12.381000979755392
0.16	12.37799348462218
0.2	12.363291935516386
0.24	12.35675293101356
0.28	12.321448658693733
0.32	12.270975452246226
0.36	12.239158212184535
0.4	12.106586109756861
0.44	11.946407361074634
0.48	11.835850407007833
0.52	11.883783646719671
0.56	12.066870335768414
0.6	12.376041992479415
0.64	12.680022194419493
0.68	12.998183511200324
0.72	13.300704600174143
0.76	13.572777543589304
0.8	13.788639968828974
0.84	13.991210467814483
0.88	14.162053145607956
0.92	14.307851938751341
0.96	14.306370865336426
1.0	14.276730154604763
1.04	14.305075159979694
1.08	14.312920679131857
1.12	14.315193198659209
1.16	14.303476500376007
1.2	14.295944949121086
1.24	14.303939081156095
1.28	14.315870321815233
1.32	14.32177508409793
1.36	14.326122220132795
1.4000000000000001	14.333839159014126
1.44	14.329851065179739
1.48	14.333214392209847
1.52	14.363819212986456
1.56	14.419804520676358
1.6	14.46770965970606
1.6400000000000001	14.506553162831352
1.68	14.594478494637002
1.72	14.62506982042278
1.76	14.71759798575097
1.8	14.775962582181215
1.84	14.92022008021619
1.8800000000000003	15.081033108195562
1.92	15.337742605984936
1.96	15.752806538812642
2.0	16.485071909600066
2.04	17.870426108768328
2.08	20.02911252450742
2.12	22.900931486412397
2.16	26.33996967664695
2.2	30.017115840212504
2.24	33.74124510522149
2.2800000000000002	37.24543901673896
2.32	40.185610450675874
2.36	42.215209446567606
2.4	43.28863103706232
2.44	43.69982050110351
2.48	43.934110686804765
2.52	43.96020926722695
2.56	43.706081532433664
2.6	43.35134644741759
2.64	42.88764966583758
2.68	42.28532861619821
2.72	41.492696714382284
2.7600000000000007	40.41537594761599
2.8000000000000003	39.02994816875009
2.84	37.356314105825255
2.88	35.43417333027336
2.92	33.2158795889792
2.96	30.739322238267782
3.0	28.082475903460256
3.04	25.368156523235506
3.08	22.695201709263536
3.12	20.142408657815743
3.16	17.935413721554596
3.2	16.19310229672294
3.24	14.913349994787701
3.2800000000000002	14.06183946093779
3.3200000000000003	13.628142537499237
3.36	13.611501880336483
3.4	13.786821368580995
3.44	14.100396375892934
3.48	14.38643057936568
3.52	14.457012260216594
3.56	14.4567564709223
3.6	14.378662037301723
3.64	14.289616535129383
3.68	14.227957487649896
3.72	14.173159254446986
3.7600000000000007	14.170480356151856
3.8000000000000003	14.173363019645095
3.84	14.182868456231006
3.88	14.198311432753421
3.92	14.226401239353322
3.96	14.281598239117592
4.0	14.323915043043428
4.04	14.452007779017528
4.08	14.599650938372832
4.12	14.885702720155649
4.16	15.473311366248062
4.2	16.706462851750835
4.24	18.88527536914774
4.28	21.971260911734923
4.32	25.959246088292936
4.36	30.243996138306166
4.4	34.21977813103286
4.44	37.70373417108069
4.48	40.325400037017125
4.520000000000001	42.055499019625394
4.5600000000000005	42.88996493582702
4.6000000000000005	43.238563392142744
4.64	43.25956586954879
4.68	43.0989420666749
4.72	42.80626437691371
4.76	42.496968576332286
4.8	42.19940906899118
4.84	41.900821333396216
4.88	41.52807503253897
4.92	41.055534809687806
4.96	40.33999990787401
5.0	39.31964369923936
5.04	37.938340291610054
5.08	36.23604809324561
5.12	34.298895391750015
5.16	32.14970477856682
5.2	29.78645411973786
5.24	27.356031531316724
5.28	24.96802903539045
5.32	22.717039740137047
5.36	20.62931110672634
5.4	18.80947161637213
5.44	17.31835059156154
5.48	16.133004569511826
5.520000000000001	15.214636192459658
5.5600000000000005	14.588110273256824
5.6000000000000005	14.308173861028088
5.64	14.222190727354139
5.68	14.197802251688898
5.72	14.288812459124365
5.76	14.483779893795877
