armbage
t	x
0.0	54.79430169085356
0.04	54.64958831786009
0.08	54.51927233740173
0.12	54.887358619177235
0.16	54.80207135881676
0.2	54.1036761932063
0.24	52.70116022553759
0.28	50.824624402670565
0.32	50.44201440628751
0.36	50.12032865959111
0.4	49.85647114616734
0.44	49.77621768517122
0.48	50.57319037297077
0.52	51.919375494886594
0.56	52.87561068196612
0.6	53.97997776336854
0.64	55.42856783956688
0.68	55.74261797654583
0.72	55.9093534259506
0.76	55.826689080827805
0.8	56.05234002034706
0.84	55.83914070943058
0.88	55.648955217911976
0.92	55.72148809570069
0.96	55.77242396779013
1.0	56.075125644130935
1.04	56.62054066307644
1.08	56.767592678403275
1.12	57.00836628370223
1.16	57.51843095114839
1.2	57.949334542528845
1.24	58.46619724391019
1.28	58.706716271547634
1.32	58.65211357565806
1.36	58.77332690133642
1.4000000000000001	58.81036810493572
1.44	58.805324756712366
1.48	58.75238171489889
1.52	58.72692936774695
1.56	58.3468349268702
1.6	58.463248267592576
1.6400000000000001	58.530224903466774
1.68	58.617569851650956
1.72	58.664912245455184
1.76	58.71004542576168
1.8	58.70066055858308
1.84	58.8735210064325
1.8800000000000003	58.83676515731133
1.92	58.898999149541055
1.96	59.499373292830455
2.0	59.73936413762078
2.04	59.79999274042177
2.08	59.83272952982236
2.12	59.86595803039438
2.16	59.90659826802869
2.2	59.97140888718479
2.24	59.99463457509057
2.2800000000000002	60.05100622765542
2.32	60.01846322901213
2.36	60.07860857716594
2.4	58.73605487141333
2.44	55.95048893358819
2.48	54.78039344776187
2.52	53.81562274754026
2.56	52.5004739904731
2.6	51.58112755452737
2.64	52.507085042877975
2.68	54.72181621269999
2.72	55.444818572059944
2.7600000000000007	54.821691600589816
2.8000000000000003	54.82579614043209
2.84	55.126552054227545
2.88	55.612671199170904
2.92	55.31503943878795
2.96	55.013237321586644
3.0	54.861143164753344
3.04	54.901226203604324
3.08	54.82312575979597
3.12	54.7864110110155
3.16	54.79907726820704
3.2	54.89322196563637
3.24	55.005783424066635
3.2800000000000002	55.40507182866361
3.3200000000000003	55.75954277837138
3.36	55.85082747578656
3.4	55.91907589165419
3.44	55.95339201080344
3.48	55.98939115941141
3.52	55.92909978704199
3.56	55.86428558720638
3.6	55.964766460318174
3.64	55.935887974905086
3.68	55.86717093541904
3.72	55.840145509229274
3.7600000000000007	55.8009924482493
3.8000000000000003	55.77714558021455
3.84	55.75024114820155
3.88	55.71316412981025
3.92	55.43712120067369
3.96	54.84761480788313
4.0	54.0390744238249
4.04	53.75741858334902
4.08	54.714209628027334
4.12	56.094189464526266
4.16	56.9926260532269
4.2	57.60988409092545
4.24	56.67755221680875
4.28	54.201241640964895
4.32	51.22329503768799
4.36	48.919869656964806
4.4	48.5333285832304
4.44	50.513048876274866
4.48	53.54881997851078
4.520000000000001	56.93411759979574
4.5600000000000005	60.929545009577055
4.6000000000000005	65.07758620116476
4.64	68.88489603235564
4.68	73.48498919857013
4.72	81.01217988478209
4.76	83.66150076590804
4.8	89.19007474300622
4.84	95.68810613233074
4.88	102.49083793112356
4.92	109.2845119335908
4.96	115.54493182741646
5.0	122.39132886400478
5.04	128.70614725077178
5.08	134.21223122984463
5.12	138.75831757813137
5.16	142.8363438904297
5.2	146.58105311090696
5.24	149.89287891733704
5.28	152.77853547223356
5.32	155.09453181692732
5.36	157.60855416169
5.4	159.71590474588186
5.44	161.80635823935324
5.48	162.36094126286696
5.520000000000001	160.92564142735466
5.5600000000000005	157.36167132830008
5.6000000000000005	151.69140251113606
5.64	142.75866435427963
5.68	129.89911072955226
5.72	116.50261457586714
5.76	102.55455757574885
5.8	88.57076611289915
5.84	76.70856408153816
5.88	66.29098335288074
5.92	57.680325679577095
5.96	51.51984353352293
6.0	46.99445784257534
6.04	43.6090532519205
6.08	41.7704576546995
6.12	41.69809724379559
6.16	42.833505483518024
6.2	44.14883121349533
6.24	44.86082449221965
6.28	44.85902675152295
6.32	44.59249904568867
6.36	44.73540255267733
6.4	44.883428916308844
6.44	44.830205302041236
6.48	44.733787267126104
6.520000000000001	44.83838897589146
6.5600000000000005	45.146472430498875
6.6000000000000005	46.61394967655281
6.640000000000001	49.61965359073349
6.68	53.559278622464376
6.72	56.69659916684634
6.76	59.76635748044998
6.8	63.05714953060021
6.84	67.00226881360538
6.88	71.55633022390805
6.92	76.25614892061265
6.96	81.42968987686766
7.0	86.98759244140558
7.04	92.72551326487257
7.08	98.09202921016788
7.12	103.89320760116868
7.16	109.76823266390977
7.2	115.67724846955036
7.24	122.41142424382099
7.28	134.60908133262103
7.32	139.49838426840608
7.36	149.6497401947048
7.4	159.89251868025679
7.44	169.9637033064829
7.48	179.45037064469432
7.520000000000001	187.10860872567912
7.5600000000000005	191.3199598292075
7.6000000000000005	191.7109506234575
7.640000000000001	188.2520691914366
7.68	181.59657354217677
7.72	172.04452228593448
7.76	159.55017742898087
7.8	144.20068310514864
7.84	127.78260015456283
7.88	110.57043134413527
7.92	93.83653467548186
7.96	79.82787953836589
8.0	67.60654851334914
8.040000000000001	57.69570641856183
8.08	51.1715329074342
8.120000000000001	48.22323652263992
8.16	49.11780294517814
8.2	50.90584403985906
8.24	52.78620725216376
8.28	53.607704615351054
8.32	53.00935808156703
8.36	52.19707028100345
8.4	51.64029977917073
8.44	51.64242807382618
8.48	51.84229393810813
8.52	51.791982605136695
8.56	51.75068666586196
8.6	51.863261677380365
8.64	51.8007118677416
8.68	52.80902026132378
8.72	53.01680853546861
8.76	53.87133142606001
8.8	55.35571532948245
8.84	56.953486470097346
8.88	58.02794429146036
8.92	58.99148749469225
8.96	60.90864115070133
9.0	63.73447209255539
9.040000000000003	68.6308375258451
9.08	73.96092487924454
9.120000000000001	80.57449093410776
9.16	87.84302664263089
9.200000000000001	95.80610545807451
9.24	103.68921002266654
9.28	111.8040381823372
9.32	120.58409200015888
9.36	129.52676731572762
9.4	138.66429123436558
9.44	148.2945566915829
9.48	158.69420959050024
9.52	169.10659190649142
9.56	179.85288666401414
9.6	190.1863550067493
9.64	199.73770804516118
9.68	207.80451494778924
9.72	213.86436810478983
9.76	218.132652307375
9.8	220.6300466784661
9.84	220.95362288929584
9.88	219.7336357516657
9.92	216.59598046098188
9.96	211.7752624164758
10.0	205.2246005027106
10.040000000000003	196.4775289674477
10.08	186.53499180314805
10.120000000000001	176.9674266125113
10.16	165.65042013281175
10.200000000000001	154.54594811051413
10.24	143.38724578566837
10.28	131.4607640861983
10.32	120.18995773493054
10.36	109.0045810028181
10.4	97.71874460164202
10.44	87.86454991388189
10.48	79.03208444857535
10.52	73.51872560619779
10.56	70.55737905068224
10.6	69.84147989807059
10.64	70.77430631890513
10.68	72.37282937404404
10.72	72.81013912579022
10.76	72.73688915397645
10.8	72.90389018245594
10.84	73.31457065176608
10.88	74.55592995206086
10.92	75.51808038694901
10.96	76.12639495687938
11.0	76.8686470007068
11.040000000000003	78.53200942981323
11.08	83.01686795691933
11.120000000000001	84.98048728689366
11.16	90.03224059540719
11.200000000000001	96.4173754578095
11.24	103.77109401817813
11.28	111.83611731338863
11.32	119.87579386882715
11.36	128.82027008831471
11.4	138.34029263954255
11.44	148.6884829061902
11.48	159.53280885247443
11.52	170.949084551488
11.56	182.8915396655426
11.6	194.88122344886517
11.64	204.96587527181816
11.68	213.86874105546474
11.72	221.69216421813792
11.76	228.04100027187985
11.8	233.2478713795041
11.84	237.1422664529133
11.88	239.82515564583593
11.92	240.74581505181288
11.96	239.7107479374382
12.0	235.92301766235812
12.040000000000003	229.54364310726726
12.08	220.39024900453217
12.120000000000001	208.70240538140763
12.16	194.8004765496288
12.200000000000001	179.48790549235912
12.24	162.74774497409123
12.280000000000001	145.86323461909126
12.32	128.98678613807886
12.36	106.58706460438691
12.4	99.49582810094228
12.44	87.93348680664542
12.48	79.29730976150006
12.52	72.86448871350206
12.56	69.27488355460594
12.6	68.68518809041063
12.64	70.90050796426988
12.68	73.71796485138668
12.72	74.74003395363104
12.76	74.44001971122032
12.8	73.91073129351719
12.84	73.63050440696873
12.88	73.08484046590104
12.92	73.52536253256892
12.96	74.14468333446177
13.0	74.8251245009991
13.040000000000003	74.62711780530174
13.08	73.71926595508114
13.120000000000001	73.01412672391882
13.16	72.99408425797913
13.200000000000001	74.17230278924819
13.24	77.1710972897414
13.280000000000001	81.38667788400983
13.32	86.77300691793096
13.36	93.74442522364836
13.4	101.73708251723258
13.44	110.91892616357256
13.48	121.09563403176469
13.52	132.21153099594824
13.56	143.80515895267888
13.6	156.19940143221504
13.64	169.05985868261916
13.68	181.7295058893095
13.72	194.14484439879982
13.76	205.26719896610632
13.8	214.6818564932147
13.84	223.02659312346907
13.88	229.1856897009717
13.92	233.09196476634168
13.96	234.72721119088476
14.0	234.71425756293786
14.040000000000003	232.85604972463136
14.08	229.81051867977442
14.120000000000001	225.55077110989225
14.16	219.83688075405746
14.200000000000001	211.7406667346196
14.24	201.23277700755045
14.280000000000001	188.5655009308199
14.32	175.06766715292008
14.36	161.34151903028862
14.4	147.16705746391756
14.44	133.02099408980223
14.48	120.14841654074473
14.52	108.87584619567735
14.56	100.30501955989178
14.6	90.9190088478407
14.64	88.3692984992789
14.68	85.37994256274635
14.72	85.75156553219733
14.76	87.49586934381512
14.8	88.9217931397094
14.84	89.06852914219746
14.88	88.38946365082404
