axel
t	x
0.0	9.567785453239566
0.04	9.568036304307427
0.08	9.568654319843375
0.12	9.601310018762405
0.16	9.688880592253312
0.2	9.775331341234526
0.24	9.858027052415864
0.28	9.873538849891162
0.32	9.873240060597531
0.36	9.87686152979041
0.4	9.880126427167305
0.44	9.906194544549933
0.48	9.954997941358528
0.52	9.998279414841555
0.56	10.006175663772389
0.6	10.015917994901976
0.64	10.031198396607564
0.68	10.056957532899887
0.72	10.127980518114718
0.76	10.18072996096064
0.8	10.272950301087207
0.84	10.440864415752834
0.88	10.444257846767755
0.92	10.46894322104066
0.96	10.529322574609651
1.0	10.582302011564359
1.04	10.612341419841506
1.08	10.63677686829132
1.12	10.60735488653976
1.16	10.53934202652571
1.2	10.480353088063545
1.24	10.45563797782524
1.28	10.455158156616676
1.32	10.463519033215611
1.36	10.512625426773397
1.4000000000000001	10.565350639500572
1.44	10.593873925428596
1.48	10.596194204951068
1.52	10.574908549016605
1.56	10.528870322921321
1.6	10.484343514861436
1.6400000000000001	10.468393197263843
1.68	10.493317191198969
1.72	10.535618241812436
1.76	10.56863910278215
1.8	10.578952429130851
1.84	10.589477827478227
1.8800000000000003	10.59382062006339
1.92	10.594948183160149
1.96	10.595832163999972
2.0	10.582061871600658
2.04	10.589802184523073
2.08	10.593529676279296
2.12	10.606457285319799
2.16	10.618617201640944
2.2	10.720140914342409
2.24	10.761696110477267
2.2800000000000002	10.894865600346705
2.32	11.14518855886842
2.36	11.508709392677723
2.4	11.98803598793939
2.44	12.47860587563325
2.48	13.076394271593138
2.52	13.717783807720053
2.56	14.25956744449131
2.6	14.736982194925986
2.64	15.159149982708271
2.68	15.53696181506298
2.72	15.87396581508115
2.7600000000000007	16.193713243407416
2.8000000000000003	16.483041459119768
2.84	16.69753748996777
2.88	16.945478634538794
2.92	17.93128600655121
2.96	17.95588540691267
3.0	18.81531257442458
3.04	19.775375194980448
3.08	20.844756725677634
3.12	21.968003279343144
3.16	23.05348783654413
3.2	23.966304853693636
3.24	24.667086098480873
3.2800000000000002	25.643621878915333
3.3200000000000003	25.660729964420348
3.36	25.9328472397195
3.4	26.075348284772964
3.44	26.12124039732216
3.48	26.050171359682004
3.52	25.92156970478677
3.56	25.800448402527003
3.6	25.631072073117842
3.64	25.39880311231689
3.68	24.996728868360172
3.72	24.520154502359297
3.7600000000000007	23.88491185956459
3.8000000000000003	23.063167442716953
3.84	22.20389244265035
3.88	21.257584521060643
3.92	20.315055648648517
3.96	19.405579330207388
4.0	18.5376983026229
4.04	16.988275221914186
4.08	16.992344708649888
4.12	16.392083315320335
4.16	15.93683047413267
4.2	15.568355996475063
4.24	15.323887257289115
4.28	15.138855667317252
4.32	15.027360413654336
4.36	14.899763811528295
4.4	14.732384265652584
4.44	14.456425646263575
4.48	14.327045396690018
4.520000000000001	14.34278581060741
4.5600000000000005	14.399175055016123
4.6000000000000005	14.437273053044471
4.64	14.443831639421838
4.68	14.461312410020277
4.72	14.578448371565962
4.76	14.716176489121644
4.8	14.88955358706692
4.84	15.176908058061855
4.88	15.628687743600615
4.92	16.214843344786395
4.96	16.905434069659535
5.0	17.679785439685695
5.04	18.465403060077946
5.08	19.25750858430576
5.12	21.083126164137703
5.16	21.087095059501216
5.2	22.058266732989445
5.24	22.913984141249323
5.28	23.61263568965105
5.32	24.12409460985284
5.36	24.508871142745527
5.4	24.752761371261677
5.44	24.78446846525039
5.48	24.640800874105388
5.520000000000001	24.359113885620296
5.5600000000000005	24.07915958511402
5.6000000000000005	23.825489883321787
5.64	23.480781922260398
5.68	23.034904774422593
5.72	22.472606451268
5.76	21.812948279835688
5.8	20.983287893872692
5.84	20.102756820430194
5.88	19.176526911306226
5.92	18.263409920214798
5.96	17.43967751595352
6.0	16.676808773842893
6.04	15.960847078025068
6.08	15.314906586582303
6.12	14.797964302826479
6.16	14.496385095954786
6.2	14.352856416838023
6.24	14.231098996980208
6.28	14.16312298438855
6.32	14.010704797095102
6.36	13.881455938444532
6.4	13.875185805613185
6.44	13.876146147351733
6.48	13.870795296288506
6.520000000000001	13.86846331429009
6.5600000000000005	13.868720845384246
6.6000000000000005	13.981589366884172
6.640000000000001	14.044816058494732
6.68	14.156526878367977
6.72	14.25375578677209
6.76	14.369205669592745
6.8	14.475884230984711
6.84	14.663691377679577
6.88	14.90588265294096
6.92	15.313615112612823
6.96	15.779879958207779
7.0	16.311241356075904
7.04	16.920629214860064
7.08	17.52021122515589
7.12	18.08697684312333
7.16	18.695267812170243
7.2	19.350028102619703
7.24	20.04741340516994
7.28	20.76942205750054
7.32	21.444594560101955
7.36	22.091531634411417
7.4	22.71501409159753
7.44	23.59298891461186
7.48	23.60251547421654
7.520000000000001	23.80787891791241
7.5600000000000005	23.845669897404342
7.6000000000000005	23.76654290142759
7.640000000000001	23.641253885924975
7.68	23.472912303324343
7.72	23.3044356443828
7.76	23.048110289623445
7.8	22.74287454300765
7.84	22.30438368156181
7.88	21.712992655135302
7.92	21.05355481603697
7.96	20.32414111507837
8.0	19.60222911344973
8.040000000000001	18.841770798570877
8.08	18.110983191474674
8.120000000000001	17.35008170474938
8.16	16.685368176596576
8.2	16.09790257153304
8.24	15.662395029251577
8.28	15.34662802078995
8.32	15.167632495881719
8.36	15.100202843356271
8.4	15.052849093127847
8.44	15.046971661186461
8.48	14.948795939824578
8.52	14.871313540678365
8.56	14.85513897306074
8.6	14.855043952082369
8.64	14.850884105152218
8.68	14.829695329516284
8.72	14.800624961871733
8.76	14.796559879094168
8.8	14.87467477877464
8.84	15.169852694239715
8.88	15.173597522636115
8.92	15.334714889724914
8.96	15.585650326175305
9.0	15.982891586797017
9.040000000000003	16.510124560021012
9.08	17.110925377728215
9.120000000000001	17.810546132928614
9.16	18.56371620729965
9.200000000000001	19.345419966099122
9.24	20.146575021674415
9.28	20.90505808122007
9.32	21.635045974174112
9.36	22.84714055808916
9.4	22.85478770054342
9.44	23.3022218635976
9.48	23.617340790978098
9.52	23.863250907097743
9.56	24.034622255249964
9.6	24.065566156926558
9.64	24.050369683444167
9.68	23.948149261760484
9.72	23.87986768807321
9.76	23.771811762368863
9.8	23.638556848105374
9.84	23.474146218287764
9.88	23.195774441448968
9.92	22.837084618814423
9.96	22.314470890773414
10.0	21.71521348140042
10.040000000000003	21.013865461569033
10.08	20.24766642736102
10.120000000000001	19.502680136980565
10.16	18.75886423118326
10.200000000000001	18.032689775024494
10.24	17.303374085731292
10.28	16.53778982752543
10.32	15.827055851935185
10.36	15.19036498943484
10.4	14.625025849355204
10.44	13.71890026623609
10.48	13.714414617592098
10.52	13.43322557920068
10.56	13.28528868065088
10.6	13.173986541438921
10.64	13.041025272561477
10.68	12.94200935193728
10.72	12.9284316616953
10.76	12.972216460065667
10.8	12.972403909678668
10.84	12.928628431304318
10.88	12.86120869292509
10.92	12.848894462813014
10.96	12.892149741835297
11.0	12.959357552794252
11.040000000000003	13.016102964058
11.08	13.11370295554213
11.120000000000001	13.226752124735391
11.16	13.281950080476747
11.200000000000001	13.430181601836495
11.24	13.720030544049557
11.28	14.130644206404597
11.32	14.568336192460968
11.36	15.026888022031017
11.4	15.520175262290188
11.44	16.05849291911268
11.48	16.638745571288517
11.52	17.245512904678208
11.56	17.88029243816657
11.6	18.534648544324682
11.64	19.198080096885292
11.68	19.829746771494534
11.72	20.567755635067805
11.76	21.318668547074203
11.8	22.042820319534464
11.84	22.65735746468784
11.88	23.17123151040969
11.92	23.586833763770834
11.96	23.8768592897382
12.0	24.04652129925011
12.040000000000003	24.076918014653778
12.08	23.97227184692155
12.120000000000001	23.78560138287235
12.16	23.566870957563786
12.200000000000001	22.88385798855571
12.24	22.88040053880625
12.280000000000001	22.410571325734303
12.32	21.759658169124897
12.36	21.103140900872297
12.4	20.42773053404313
12.44	19.712007472804125
12.48	18.98821223931943
12.52	18.19188525459085
12.56	17.390400537498465
12.6	16.642667624512193
12.64	16.029418511770878
12.68	15.49864829919931
12.72	15.104478357705588
12.76	14.74389304717645
12.8	14.412173697300084
12.84	14.2045873591522
12.88	14.06011089389338
12.92	13.961860700018427
12.96	13.858800009029288
13.0	13.834919122444191
13.040000000000003	13.767149827759148
13.08	13.704586793777779
13.120000000000001	13.656649923853443
13.16	13.654432494767448
13.200000000000001	13.716206619182593
13.24	13.854436346243467
13.280000000000001	14.034982239334504
13.32	14.28836000147362
13.36	14.53583666222233
13.4	14.890005822742623
13.44	15.918350938943696
13.48	15.911689030990424
13.52	16.54470364813482
13.56	17.217190528930843
13.6	17.961289579973396
13.64	18.77111148894315
13.68	19.6487937003969
13.72	20.544287242532327
13.76	21.461433059489046
13.8	22.362235343336458
13.84	23.197058369937274
13.88	23.903360376298075
13.92	24.416471258462074
13.96	24.747760785093142
14.0	24.958276315070698
14.040000000000003	25.077542404903816
14.08	25.082715854891525
14.120000000000001	24.96202529454977
14.16	24.820809183806354
14.200000000000001	24.66748528503644
14.24	24.488251153792525
14.280000000000001	24.200115937844593
14.32	23.768982586485116
14.36	23.20368946159912
14.4	22.556875362358035
14.44	21.74429619018911
14.48	20.834108260499313
14.52	19.954338016047537
14.56	19.108583769255524
14.6	18.234682465566593
14.64	17.451734648527797
14.68	16.68294901923167
14.72	15.889985377964777
14.76	15.18706859694413
14.8	14.701852550839675
14.84	14.328760203768987
14.88	14.041849956949612
14.92	13.819159917814794
14.96	13.673243276618216
15.0	13.511247130039301
15.040000000000003	13.427913849366156
15.08	13.4251416734159
