hand
t	x
0.0	40.43773416111159
0.04	40.436619963648454
0.08	40.437306951297515
0.12	40.43733595309371
0.16	40.43735273805183
0.2	40.425848476297176
0.24	40.38531094523729
0.28	40.31027433963091
0.32	40.212808055885105
0.36	40.122368799307225
0.4	40.18880680908036
0.44	40.46870026978958
0.48	41.10514188069048
0.52	42.12339698736238
0.56	43.49817706472105
0.6	45.08618102431207
0.64	46.89227828947887
0.68	48.8138959431345
0.72	50.70916550456428
0.76	52.564765211602406
0.8	54.1939937354352
0.84	55.38065172809412
0.88	55.9072845298618
0.92	55.95131792095607
0.96	55.67647122777642
1.0	55.330719735274144
1.04	55.08196825309655
1.08	54.93475079579298
1.12	54.79905287343338
1.16	54.73441681575068
1.2	54.652987183239475
1.24	54.64615729705825
1.28	54.67031376484336
1.32	54.68169568833912
1.36	54.666855713522324
1.4000000000000001	54.661829622726074
1.44	54.684082705690614
1.48	54.73704317083917
1.52	54.798046126726845
1.56	54.89423671057472
1.6	55.062312511971925
1.6400000000000001	55.37978462705131
1.68	55.952366872706634
1.72	56.88247893265577
1.76	58.219917054139444
1.8	60.062529276979745
1.84	62.56405193195074
1.8800000000000003	65.77795917714366
1.92	69.71067587635304
1.96	74.00233746332977
2.0	77.842707023962
2.04	80.74982328265345
2.08	82.69393239943957
2.12	84.08090704321674
2.16	84.7298401731536
2.2	84.75157181959136
2.24	84.47184016070776
2.2800000000000002	83.85693308308485
2.32	83.00723506756549
2.36	82.01379751207817
2.4	80.84782375679065
2.44	79.66447483937814
2.48	78.3856115414476
2.52	77.11801646557005
2.56	75.78472690256336
2.6	74.33097194232907
2.64	72.5739182183907
2.68	70.65765299225477
2.72	68.64338423254758
2.7600000000000007	66.58765817360961
2.8000000000000003	64.51679294943202
2.84	62.45138902721199
2.88	60.34843725520203
2.92	58.29712853043125
2.96	56.41945424372294
3.0	54.93329621411172
3.04	53.978209537857666
3.08	53.60216877669603
3.12	53.5888690275617
3.16	53.607230115494986
3.2	53.60659692900313
3.24	53.62433973233384
3.2800000000000002	53.623545563707836
3.3200000000000003	53.60970788382018
3.36	53.606629327204146
3.4	53.60857663211989
3.44	53.61687087903567
3.48	53.6278169369663
3.52	53.63561854011182
3.56	53.64609312360949
3.6	53.65257649918634
3.64	53.66076138713588
3.68	53.647600410047986
3.72	53.64364579186511
3.7600000000000007	53.72437640169173
3.8000000000000003	53.92277799756391
3.84	54.255941548369066
3.88	54.75356069360599
3.92	55.52299343251636
3.96	56.40113822023636
4.0	57.50688928080781
4.04	58.82244318074487
4.08	60.318725694100465
4.12	62.01075821371481
4.16	63.89281588050335
4.2	66.15624985084212
4.24	69.04899389809611
4.28	72.70909728551845
4.32	76.97683538851153
4.36	81.00094621252143
4.4	83.59161375489131
4.44	85.07101336672397
4.48	85.88634457292827
4.520000000000001	86.02941931704282
4.5600000000000005	85.71899079567496
4.6000000000000005	85.06673480771681
4.64	84.10838101441635
4.68	82.97407580632844
4.72	81.67872272241519
4.76	80.28789920540616
4.8	78.83456578997938
4.84	77.36029394882036
4.88	75.84713808163208
4.92	74.27736030246346
4.96	72.69640280018108
5.0	71.13631324800915
5.04	69.56172292605602
5.08	67.98007703506477
5.12	66.4826554464264
5.16	65.02892342531696
5.2	63.69105637331934
5.24	62.43463775156178
5.28	61.324710421016846
5.32	60.38085194200987
5.36	59.501525241343714
5.4	58.73612618995236
5.44	58.03294821739581
5.48	57.454509286205024
5.520000000000001	57.0346623690902
5.5600000000000005	56.73143582031925
