hand
t	x
0.0	140.05633802816908
0.04	140.03707264862908
0.08	139.9965204966103
0.12	140.0517417034008
0.16	140.04498563366144
0.2	140.0161262659077
0.24	139.92063154939217
0.28	139.9612830285538
0.32	140.02192754981604
0.36	140.13519411641107
0.4	140.12675955748875
0.44	140.10953900170136
0.48	140.1274428911612
0.52	140.13878917143404
0.56	140.14399219557583
0.6	140.12522491611128
0.64	140.11823457679714
0.68	140.0528830198465
0.72	140.00296117793698
0.76	140.01201407546216
0.8	139.96613957270972
0.84	139.8792126523407
0.88	139.78037154767446
0.92	139.92723686532406
0.96	140.01519880294256
1.0	140.06751971730876
1.04	140.11489656234073
1.08	140.16475634047958
1.12	140.1309025711529
1.16	140.15495362077365
1.2	140.16194277238412
1.24	140.1530879091498
1.28	140.10487135568076
1.32	140.0831060202928
1.36	140.07237739580944
1.4000000000000001	140.05887613135803
1.44	140.06243871824734
1.48	140.04828722853802
1.52	140.0487562798304
1.56	140.04334239865068
1.6	140.03666214947555
1.6400000000000001	140.02890199702335
1.68	140.05476183700887
1.72	140.0527950593122
1.76	140.05160477344236
1.8	140.0521246263844
1.84	140.04354079290363
1.8800000000000003	140.0414373491327
1.92	140.03613004817237
1.96	140.04887928445817
2.0	140.01447924885235
2.04	140.06794335486586
2.08	140.0293027893009
2.12	140.052218467216
2.16	140.05269315741077
2.2	140.19815276301426
2.24	140.1509271898268
2.2800000000000002	140.11420487478574
2.32	139.9636224068687
2.36	139.35127238157258
2.4	137.87480932809933
2.44	135.71591581516725
2.48	133.29698014319285
2.52	129.48385081699382
2.56	126.1467542275069
2.6	123.95980036999629
2.64	125.07491871588184
2.68	125.97673877089812
2.72	126.09187105005105
2.7600000000000007	125.98907792152352
2.8000000000000003	126.07526708468197
2.84	126.09667631773084
2.88	126.09083214328359
2.92	126.08929905343905
2.96	126.05715130944839
3.0	126.07034356726592
3.04	126.06308632385719
3.08	126.05786075840945
3.12	126.05469040449373
3.16	126.05668249516282
3.2	126.06503575431691
3.24	126.04285890233052
3.2800000000000002	126.04397480377077
3.3200000000000003	126.02379193337435
3.36	126.03043565886185
3.4	126.03196027828142
3.44	126.04036520825832
3.48	126.03844627288652
3.52	126.03708086690096
3.56	126.03587418562995
3.6	126.03349055758633
3.64	126.03479475183406
3.68	126.02938430801407
3.72	126.02383018635226
3.7600000000000007	126.02413364525921
3.8000000000000003	126.02842117805915
3.84	125.9894744271711
3.88	125.95763424737845
3.92	125.9539205937009
3.96	125.91247696369976
4.0	126.05284152538059
4.04	126.91528254167599
4.08	127.92419414733388
4.12	128.45603875475956
4.16	127.20219611441746
4.2	123.3830170541379
4.24	115.93774038819436
4.28	107.43004024265622
4.32	100.05260427543874
4.36	97.30419652654416
4.4	100.05157094535355
4.44	106.08701374941995
4.48	113.70818949707484
4.520000000000001	122.5347972348319
4.5600000000000005	131.70460006000405
4.6000000000000005	140.73837681195403
4.64	149.69957371630255
4.68	158.91186635698625
4.72	173.72256925633872
4.76	178.7678435555789
4.8	189.24741316764278
4.84	199.46269825512638
4.88	209.5820200350314
4.92	219.3018897143071
4.96	228.70138256862185
5.0	237.57012429973622
5.04	245.46666353402054
5.08	252.56071447220495
5.12	258.9855430586978
5.16	264.3682975539783
5.2	269.2286878692822
5.24	273.98521113750496
5.28	278.1835252795032
5.32	281.97802454298755
5.36	285.2175679888279
5.4	288.3401427890443
5.44	290.4172251314204
5.48	290.98630077440487
5.520000000000001	289.45866907665675
5.5600000000000005	285.93995364812383
5.6000000000000005	279.97156033618023
5.64	270.9911046650933
5.68	259.9559000268233
5.72	245.9991515612429
5.76	229.23080532502456
5.8	211.69150623665053
5.84	193.1263323455688
5.88	174.40940420730033
5.92	157.69926531844442
5.96	143.9816945488443
6.0	133.06934877004608
6.04	125.66799483715488
6.08	123.4580022246106
6.12	123.30300736178071
6.16	123.81665752734636
6.2	124.44105293045902
6.24	124.81366015910419
6.28	124.80076985545622
6.32	124.5937163270861
6.36	124.82169962487353
6.4	124.95400291307112
6.44	125.04684899922734
6.48	125.09974844972032
6.520000000000001	124.98277636895148
6.5600000000000005	124.593718530302
6.6000000000000005	123.61035927662908
6.640000000000001	120.31768624215795
6.68	117.2775153979502
6.72	116.85887314874628
6.76	119.0060893624833
6.8	124.20503482827928
6.84	132.08266588831532
6.88	141.16659973922754
6.92	150.9822362838546
6.96	160.96401877881874
7.0	171.41100694037698
7.04	181.4860652129513
7.08	191.29946513305083
7.12	200.63292220116284
7.16	209.97848336117966
7.2	219.8326816197183
7.24	230.48420623741288
7.28	247.06063988672452
7.32	252.80916344003356
